Movie_Title,Storyline
Kardes Takimi,"Love comes without asking. Often not to those, not so and not then. Can a genuine feeling survive when everything started wrong and the whole world is against it? Give up everything or give up? Burn or survive?"
Why Do You?,"When her sister is murdered by a group of politically connected rich kids, Sayara, a quiet gym cleaner from Turkmenistan, begins to follow in her father's footsteps, seeking a path of revenge."
Sayara,"Journey that delves deep into the complexities of friendship. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition."
Por,"Terry, in strict quarantine in his ex-husband's Brooklyn home, cares for his injured nephew, a 19-year-old Moroccan model named Bahlul, drawing attention from everyone in his life."
Stress Positions,"An estranged woman and an unruly man from different worlds meet at a surreal setup. Despite their differences, they discover unexpected similarities about life."
Level Cross,"Pedro returns to Argentina to spend the holidays with friends and family. He meets up with Maxi, a childhood friend who attracts him. Both engage in a playful game of flirtation and seduction."
The Astronaut Lovers,"After the shocking discovery of an unconscious man in a locked unit, the lone employee of a remote storage facility must fight to survive the night against a ruthless gang, dead set on retrieving their precious cargo - at any cost."
Unit 234,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.
Officer Black Belt,"A middle-aged empty nester's mundane life is upended when raucous new neighbors move in next door, unleashing potential danger and disruption."
Restless,"A woman's storytelling and illusions bring to life the controversial figure of Miguel Serrano, a Chilean writer who propagated esoteric Neo-Nazi philosophies, prompting contemplation about his place in history."
The Hyperboreans,"Alice, a depressed mistress, forms a deep emotional and sexual bond with Mika, her neighbor, who is also a mistress. Then, the inevitable happens, they fall for each other."
Kabitan,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive."
The Mouse Trap,"Three members of an extended Afghan family start their lives over in Iran as refugees, unaware they face a decades-long struggle ahead to be ""at home""."
In the Land of Brothers,"Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror."
Do Not Enter,Three women in a Marseille apartment get stuck in a heat wave. They find themselves trapped in a terrifying affair and longing for freedom.
The Balconettes,"Actor Rutger Hauer was private, letting few into his inner circle. His goddaughter, director Sanna Fabery de Jonge, explores his life and reveals a man more fascinating than his screen roles."
Like Tears in Rain,"Following up on a murder investigation, failed journalist Giuseppe falls into the trap of the devil."
The Contract,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
The Tiger's Apprentice,A soul-searching story about three friends who have different conditions of deafness.
The Way We Talk,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror."
A Desert,A director calls all his favorite actresses to film a movie set in Rome in the 70s that tells the vicissitudes revolving around a prestigious tailoring.
Diamonds,"Follows a pair of childhood friends: Amelia and Archie. Archie has always kept his love for her a secret, but just as he builds up the courage to declare his feelings, Amelia falls for Billy Walsh, the new transfer student."
How to Date Billy Walsh,A subversive romantic comedy gone wrong that follows a young woman into and out of an emotionally abusive relationship.
I Love You Forever,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?"
Standing on the Shoulders of Kitties,"Bloody terror wiped out the Sangkara Train carriages one by one, putting passengers at risk of life and death."
The Train of Death,An Evil Air Fryer claims victims in this Troma-inspired blood bath.
Air Fryer Slaughter,"Four friends deemed 'losers' face immense pressure from parents and society upon entering adulthood. Their emotional tale sees them embark on a journey of self-discovery and acceptance, where love ultimately triumphs over judgment."
Vaazha: Biopic of a Billion Boys,"Claire is overjoyed when her daughter Robin is miraculously revived after a fatal accident. But her relief turns to dread as Claire notices changes in her daughter, suspecting something dark has followed her back from the brink of death."
Here After,"Michele relocates from capital to remote village Rupe in Abruzzo park. Challenges emerge as she aims to keep local school with few students open, set against idyllic winter and summer backdrops."
A World Apart,"Denomination of Origin (Denominación de Origen) is an audio-visual format (Film - Transmedia) in process of development. During its research process of 2 years and a half, it aims to revitalize the history and identity of many communities that have been vulnerated for decades in our Latin American countries. Its purpose, as well, is to rescue those identities which are disappearing."
Denominación de origen,"Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon."
Megamind vs. The Doom Syndicate,"A zany crew of misfits blasts off to Mars, only to find they've been duped by a scheming billionaire. Chaos ensues as they face bizarre challenges and unexpected surprises on their wacky interplanetary journey."
Mars,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police."
Crescent City,A teenage girl suffering from anxiety due to a tragic event from her past finds herself hunted through the woods by a sociopath on a murderous rampage.
You Can't Run Forever,"On Thursday 9 November 1961, a man named Brian descended the stairs to a cellar in Liverpool and changed the world forever."
Midas Man,"The true story of Donna and Reverend WC Martin and their church in East Texas, in which 22 families adopted 77 children from the local foster system, igniting a movement for vulnerable children everywhere."
Sound of Hope: The Story of Possum Trot,"1969. Dr. Audrey Evans joins world-renowned children's hospital and battles sexism, medical conventions, and the subterfuge of her peers to develop revolutionary treatments and purchase the first Ronald McDonald House, impacting millions."
Audrey's Children,A Chinese woman hires someone to secretly end her husband's extramarital relationship in an attempt to save her marriage.
Mistress Dispeller,Shirley Chisholm makes a trailblazing run for the 1972 Democratic presidential nomination after becoming the first Black woman elected to Congress.
Shirley,Highly decorated Navy SEAL Marcus Capone struggles with PTSD after returning from Afghanistan. His wife finds hope in psychedelic therapy. They embark on providing access to this treatment for other veterans battling mental health issues.
In Waves and War,"Documentary about the American indie band Pavement, which combines scripts with documentary images of the band and a musical mise-en-scene composed of songs from their discography."
Pavements,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind."
The Painter,"The Anti-Monitor, the Monitor's evil counterpart, is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back."
Justice League: Crisis on Infinite Earths - Part One,A family's vacation to a remote getaway takes an unexpected turn when they discover the island they're on is inhabited by a serial killer.
Get Away,"Trying to start over, Adam searches for redemption as he returns to his old neighborhood to put to rest his demons while the brother of the man he killed seeks revenge."
5lbs of Pressure,A stranger receives mysterious callings compelling him to search for a boy lost in an abandoned mine.
Faith of Angels,"Stella juggles demands of young son, moody teen daughter, and distant husband. Chaos ensues until a message prompts a family trip where she must overcome challenges to reunite them."
Let Go,"When actor Jack is cast in a new 'gangster film,' he asks his life-long friend Danny to shadow 'the family' in hilarious and deadly circumstances."
A Gangster's Kiss,"Billie, a young African American woman recently released from prison, kidnaps a pregnant teenager during a failed bank robbery. With nothing left to lose, they set off on a journey together."
Silver Star,Nazi propaganda minister Joseph Goebbels is in charge of building public support for the Holocaust and for the war that Hitler is about to start.
Goebbels and the Führer,"Abbie Bladecut's family business, a video store, has thrived by disposing of teenagers to mimic horror movies. As the first female slasher, she battles gender bias while realizing the harsh realities behind the mass murders."
Bloody Axe Wound,"After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails."
Yodha,"Seok-young loves swimming and meets mysterious Woo-ju in the countryside. They grow close after he saves her from drowning, but separate when he leaves to pursue his dream. Will they reunite someday?"
Boy in the Pool,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama."
Hide N Seek,Award-winning documentarian Jenner Furst seeks answers from Dr. Fauci about the origins of COVID-19
"Thank You, Dr. Fauci","An American journalist travels to Poland with her Holocaust survivor father to visit the places of his childhood. However, he sabotages the trip by avoiding reliving his trauma."
Treasure,"An Argentinian filmmaker struggling to finish a movie about his unrequited first love receives an unexpected invitation to reconstruct his memories, revisit his past and perhaps even find a new ending to his story."
Before We Forget,"An ex junkie witnesses a murder. She is forced to cooperate with the killer to save her daughter's life. She must fight time, the police and criminal underworld to save the only person who means something to her."
Paradox Effect,"Hildegart Rodríguez, a precocious and prolific writer in Spain's 1930s, raised by her mother to become a model of future women."
The Red Virgin,"High-society couple's marriage is tested when the husband discovers a secret erotic society and attends a masked ball, ignoring warnings of potential consequences, after his wife admits having fantasies about another man."
Dream Story,"Virginia tumbles into a wild and thrilling new world of sexual liberation when she moves in with a group of polyamorous party animals, including the charming but commitment-phobic Jake."
Sex-Positive,"Bonded in their youth and separated by tragedy, an astronaut and a free diver bend the laws of space and time in their efforts to be together again."
Uranus 2324,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon spirit on Earth, Freddy must restore the cosmic order before the earth and moon collide."
200% Wolf,"Dreaming of an escape from the bleakness of their hometown, two teens form a unique bond at a local modeling school, where the promise of a better life pushes girls to violate their bodies in increasingly extreme ways."
Toxic,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home."
Sugar Baby,"Khanna has had a breakup. He's upset, but he has friends like Arora, Jain and Honey paa'ji who encourage him to face this breakup head-on and move on. They embark on a trip across Punjab to help Khanna find the closure he desires."
Wild Wild Punjab,"This night is like all the others for Mady, student by day, locksmith by night. But Claire, the enigmatic young girl he helps out that night, is not who she claims to be. Mady has only one night to prove his innocence in a city in turmoil."
Night Call,"A young man never wanted to marry because his girlfriend married someone else. Five years later, he was all set to get married. But a discovery about his bride's extended family forces him to reconsider? Will he marry her?"
Guruvayoor Ambalanadayil,"On her way to the most important meeting of her career, a New York executive is forced to share a rental car with her ex-fiancé's mother, only to discover that the mother is hiding a major secret."
Albany Road,"Hart plans an innovative action film with unscripted, unexpected scenes to cement his legacy as the greatest. However, a blind spot leads him to fall victim to a vengeful plot from his past."
Die Hart 2: Die Harter,A group of young people arrives to a remote village where they encounter an ancient spirit - a succubus - that can take human disguise. It feeds on one's deepest fears and brings out the darkest side in people.
Succubus,"Jaycen ""Two Js"" Jennings is a washed-up ex-professional football star who has hit rock bottom. When Jaycen is sentenced to community service coaching an unruly pee-wee football team, he sees it as an opportunity to turn his life around."
The Underdoggs,"Simon, a 16-year-old suffocated by his strict Mormon upbringing, rebels and crosses the border with friends for a weekend in Canada, as they individually discover more about themselves."
This Too Shall Pass,"At a cabin deep in the wilderness, a weekend of hunting turns to mayhem and a fight for survival when a pack of wolves attack a man, his female best friend and her fiance."
Out Come the Wolves,"It follows a singer-songwriter in a downward spiral as she takes a last effort gig at a motorcycle rally in South Dakota where she meets Casey, a guitarist who walked away from his dream long ago."
Dandelion,Army veteran Timothy McVeigh hatches a deadly plan after the Waco siege. A psychological thriller depicting the deadliest act of domestic terrorism in U.S. history.
McVeigh,"After her husband-to-be Wild Bill Hickok is killed in an infamous poker game, Calamity Jane must break out of prison and find his murderers before Deadwood's Sheriff can arrest her."
Calamity Jane,"After three years, Antonio and Luca are reunited. Antonio, a successful pastry chef, still has feelings for Luca, who is now engaged to Tancredi. Antonio is convinced that the past has come back to help them."
Mascarpone: The Rainbow Cake,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history."
Escape from Germany,"A mother who is deeply saddened lures her daughter's killer into her smart home in order to take revenge, and gets involved in a distorted game where life and death are at stake."
Hard Home,"A trucker's family is killed in a fiery crash caused by a group of reckless teens. Rescued from the wreckage and nursed back to health by a mysterious old man, the trucker exacts brutal revenge on the teens who destroyed his life."
Trucker,"The life of a young glassblower in training and his relationships over the years, as his land goes through war and strife."
The Glassworker,"Una grapples with grief while harboring a secret, unable to fully express her emotions, as she navigates challenging events swirling around her."
When the Light Breaks,"Florence wants to introduce David, the man she's madly in love with, to her father. But David isn't attracted to her and wants to throw her into the arms of his friend Willy. The characters meet in a restaurant in the middle of nowhere."
The Second Act,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out."
Baby Invasion,"A professionally filmed performance of Daniel Howell's one-man comedy show at Alexandra Palace Theatre in London, England."
Daniel Howell: We're All Doomed!,"On a journey that spans the formative years of their lives, two sisters navigate their loving but volatile father during their yearly summer visits to his home in Las Cruces, New Mexico."
In the Summers,"Amid political and spiritual turmoil, Reverend David Hill steps up to run for Congress. Opponent Peter Kane, aims to erase religion from policy, and the fight becomes a beacon of hope for people seeking moral leadership in a divided world."
God's Not Dead: In God We Trust,"Nina, an OB-GYN, faces accusations after a newborn's death. Her life undergoes scrutiny during the investigation. She persists in her medical duties, determined to provide care others hesitate to offer, despite risks."
April,"Inspired by real events, the story of Bruno Sulak, a true Arsène Lupin of the 20th century."
Freedom,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
City Hunter,"A 24-hour slice-of-life following five people whose paths cross when an antiques appraisal TV show visits their Midwestern city, exploring their personal journeys amidst the post-industrial American dream."
Lost & Found in Cleveland,"Reality TV stars face mounting supernatural horrors while filming at haunted Xinglin Hospital in Taiwan. As paranormal activity intensifies, group dynamics crumble and a dark force manipulates their survival choices."
Strange Frequencies: Taiwan Killer Hospital,"A man, Fallon (Alex Pettyfer) roams the land as a creature of the night as he comes to terms with tragic loss of his family at the hands of a brutal demagogue, Reynolds (Guy Pearce)."
Sunrise,"In a desperate attempt to protect her ten-year-old daughter, a young widow allows a nightmarish monster to slowly eat her alive."
Little Bites,"An extraordinary journey through the material that makes up our habitat: concrete and its ancestor, stone."
Architecton,Follows the last days of Louis XVI and Marie Antoinette before they were executed.
The Flood,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia."
Limonov: The Ballad of Eddie,Follows Johnny Puff and his friends as they embark on a secret mission to save Taigasville from the evil plans of Otto von Walrus.
Johnny Puff: Secret Mission,"Based on the same folktale that Disney updated and popularized for children, back in the 1950s."
Cinderella's Curse,"Nellie, Daisy and Lou attend an institution for delinquent girls on an isolated island in 1954. The trio rail against the system, finding strength in their friendship but this is challenged when the school's matron divides them."
We Were Dangerous,"Over seven years, three couples involved in the extreme sport of BASE jumping test the limits of love and life itself. Risking everything for the thrill of the jump, their dedication is put to the ultimate test."
Fly,"Liane, 19, lives with her mother and sister in Fréjus in the south of France. Consumed by aspirations of beauty and stardom, she auditions for a reality show called ""Miracle Island."""
Wild Diamond,A couple whose daughter aged 14 went missing and then reappears after a decade.
Reawakening,"Amir has a secret. He's tormented by visions of his leg rotting and longs to cut it off, convinced it doesn't belong to him. So, he devises a plan - one that will drag everyone around him into his relentless quest for a dark redemption."
Above the Knee,"A brash, amateur photographer, reeling from her mother's suicide, must rectify her self-destruction and accept the past in order to receive love and redemption."
The Fall,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
Amar Singh Chamkila,"Joe Jennings, a pioneer of skydiving cinematography, looks back on creating iconic moments in film and television, while he tries to turn a dreamlike vision into reality."
Space Cowboy,"Ozzie Gray video documents her investigation into the traumatic events from her early childhood, which involved her late grandmother, Dorothy Bell."
What Happened to Dorothy Bell?,"Navy soldier Cem embarks on trip to ""Blue Cave"" he promised wife Alara. Journey unveils details of their relationship, affirming enduring love beyond death."
Blue Cave,A suburban family plots murder when an uncle crashes Sunday dinner with a nasty surprise.
Mother Father Sister Brother Frank,The idealistic prison officer Eva is faced with the dilemma of her life when a young man from her past gets transferred to the prison where she works.
Sons,"Willy and Jojo are childhood friends who never leave each other's side. To beat boredom, they train at the Pampa, a motocross track. One evening, Willy discovers Jojo's secret."
Block Pass,What happens if you travel back in time and eliminate your younger self? Terminally bored mad genius Tim Travers seeks to find the answer and unravel the time traveler's paradox. The Result? A crazy comedic adventure beyond comprehension.
Tim Travers & the Time Travelers Paradox,"The passionate story of the life and love of Lucia, a renowned veiled courtesan who is the exception to the rule."
A Beautiful Imperfection,"Professional thief Mason attempts his biggest heist with his brother, robbing a bank. When it goes wrong, they're trapped inside surrounded by law enforcement. Tension rises as Mason negotiates with his ex-lover, the lead negotiator."
Cash Out,"A Mohawk woman is hired as a social media influencer but gets caught in a deadly cat-and-mouse game, as she's forced to go to war to preserve her people's heritage from corporate interests."
Seeds,Lissy enjoys husband Gerd's deterioration in a home. Her joy is temporary as her health rapidly declines.
Dying,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report."
The Sabarmati Report,Chloe's fiance Mason dumps her to marry wealthy Sophia. He frames Chloe's father for his crimes. Lawyer Ethan initially dislikes Chloe but they team up when he agrees to defend her father to protect his sister.
From Contract Lover to the Billionaire's Bride,"In this tongue-in-cheek spoof, horror-savvy characters are trapped in yet another cabin in the woods, where they are forced to navigate murder and red herrings to uncover who will stop at nothing for their twisted happily ever after."
Another Cabin in the Woods Movie,"Rookie detective Park Sun Woo and Seo Do-Cheol, a veteran of the Violent Crimes Investigation Division team, chase after a serial killer who shakes up their world."
"I, the Executioner","Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football."
Maidaan,"In a slum, a blind motel owner develops an unusual reaction to the noises her tenants make, awakening her sensual desires."
Growl,"After Anna meets a stock trader, she thinks he's perfect, but her identical twin sister Zoe doesn't trust him, so she sets out to discover the truth about him."
The Image of You,"A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly."
Bad Newz,"Siblings Charlie and Jack are trapped in Myanmar's toughest prison and accused of a crime they didn't commit. Forced into televised fights against other inmates, they must work together and fight for their freedom."
The Lockdown,"A couple struggling to conceive receives an antique watch from a stranger, leading the wife to realize that the answers she seeks will come in due time."
Just in Time,"Exposes the disturbing story of Richard Spencer's harrowing experience as he endured two decades of abuse at the hands of his wife, Sheree Spencer."
"My Wife, My Abuser: The Secret Footage","In Berlin 1942, Hilde is a member of an anti-Nazi group. She falls in love with another member, Hans. The two spend a summer together until they get caught by the Gestapo and Hilde is imprisoned, eight months pregnant."
"From Hilde, with Love","Set in New Zealand in 1864, follows the story of a crucial conflict of the nation's first land warfare, fought between Maori and colonial soldiers against insurmountable odds."
In the Fire of War,"On a quest to save Rambo, his dog and best friend; Hassan is forced to confront the fears of his past and rediscovers himself."
Seeking Haven for Mr. Rambo,"A comedy feature about an aspiring director who recklessly moves himself and his nine-months-pregnant actress wife from Iowa to LA to shoot a low-budget indie movie and sell it to a streamer for a ""f***-ton of money."""
Micro Budget,"At a private school, a close group of friends is all hopelessly in love with the bright, popular student Sun-ah. Jin-woo claims he's the only one who doesn't share their feelings, but he eventually falls for her as well."
You Are the Apple of My Eye,"Julie is a star player at an elite tennis academy. When her coach falls under investigation and is suddenly suspended, all of the club's players are encouraged to speak up. But Julie decides to keep quiet."
Julie Keeps Quiet,"When tragedy strikes, an unexpected bond forms between two migrants in the Chinese community of Queens. Far from home, their labor-filled lives intertwine as they grieve and search for familial connections."
Blue Sun Palace,"A family's attempt to bury a loved one is thwarted by floodwaters, forcing them to confront long-buried secrets and lies that threaten their unity."
Ullozhukku,"Sal, a professor, moves near an auto shop. Arnel, a repairman, is attracted to her after she brings her car for repair. Their relationship develops, but they face challenges navigating it while Arnel works at the shop."
Kalikot,"In 1908, an outlaw returns from years of hiding in Mexico to claim stolen gold hidden in the hills of Montana."
Outlaw Posse,"Friendship shared between Karin, a strong-minded girl sent to live with her monk granddad in the Japanese countryside, and Anzu, the even-more unpredictable phantom feline who acts as her guardian."
Ghost Cat Anzu,'Parasite' is a gripping psychological tale that explores the depths of human depravity and the lengths one will go to for survival. It's a cautionary tale of manipulation and the price of loving the wrong person.
Parasite,"This is the story of a man whose clumsiness lands him in unexpected situations. His clumsiness wreaks havoc on the hospital's electrical system, and he wreaks havoc on the hospital while trying to make up for his mistake."
Paranormal Cuma,"A 23-year-old girl is contacted by an unknown life form claiming to be able to bring her older brother, who disappeared during a space mission, safely back to Earth."
Meanwhile on Earth,"After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed."
Auron Mein Kahan Dum Tha,"A gym-obsessed serial killer murders and eats a local drug dealer for their protein, inadvertently sparking a brutal and bloodthirsty turf war between rival gangs."
Protein,A man forms an unlikely friendship with a wild otter while living in the remote Shetland Islands
Billy & Molly: An Otter Love Story,"Chiara is an actress and daughter of Marcello Mastroianni and Catherine Deneuve. One summer, she decides to live like her father. She dresses, speaks, and breathes like him with such conviction that others start calling her ""Marcello""."
Marcello Mio,"Amid the chaos of acting dreams, career obstacles, bitcoin trading, overprotective parents, job loss, and mischievous children, a couple's Alpine wedding hangs in the balance."
Der Spitzname,"Futaro and quintuplet wives plan Hawaii honeymoon trip. Despite achieving dreams, they face worries. During preparations, incident causes panic."
The Quintessential Quintuplets Specials 2,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck hoping to make their business a success."
A Sloth Story,"Arjun loves to talk, but when he learns he has 100 days to live, his priorities shift. His only wishes: reconnect with his 7-year-old daughter and find a way to survive. I WANT TO TALK is a heartfelt dad-daughter story about life's beauty."
I Want to Talk,"We Strangers is an addictive and haunting study of race, class and assimilation, centering around Ray, a charming and self-determined woman living in Gary, Indiana."
We Strangers,"Exposes how Christian Nationalism has become the most powerful anti-democratic force in America. Leaders join forces to defend our country from this march to fascism, but American citizens seem unaware of the threat."
Bad Faith,"Examines the relationship between cinematic portrayals of witches and postpartum depression, utilizing film history footage alongside personal testimony."
Witches,A farmer's story highlighting the challenges and hardships he faces while navigating the market value of his crops.
Fasal,There have been cases of mysterious disappearances of onsen visitors in Atsumi city in S prefecture.The victims were eventually found dead with signs of severe injuries to their bodies resembling a vicious shark attack.
Hotspring Sharkattack,"The incredible true story of an Armenian family forced to flee their home during the collapse of the Soviet Union, and embark on a journey to find a community to call their own."
Between Borders,"A hunter brings home a strange green case to North Carolina. After his mother dies, he returns to the family house where his sanity crumbles. Haunted by voices, visions, cryptic notes, and odd visitors, he spirals deeper into madness."
Gunfighter Paradise,"In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect."
Bhoothaddam Bhaskar Narayana,"André Masson, specialist in modern art, receives a letter according to which a painting by Egon Schiele had been discovered in Mulhouse. He finds that the work has been missing since 1939. This discovery puts his career in danger."
Auction,A reluctant leader heads up a team of seven Christians intent on smuggling Bibles to underground churches in a future America where the Bible is illegal and danger is around every corner.
Disciples in the Moonlight,"In an uninhabited house, Éden and Charlie meet and, through their explorations, discover hidden secrets that force them to confront their repressed desires and come to terms with their identities."
Éden & Charlie,Director Takeshi Kitano presents a two-part film: a serious yakuza action and a self-parodying comedy of the same story.
Broken Rage,After the loss of her husband Sultan wants to remarry. Thus she finds herself in a new way.
Mukadderat,Rebellious teenage Binny and her conservative grandfather from Bihar connect after a dramatic incident. Can the contrasting personalities bridge generational gaps and impact each other's lives?
Binny and Family,"After 15 years as a couple, Ale and Alex decide to throw a party to celebrate their separation, leaving their loved ones perplexed."
The Other Way Around,Mira is the daughter of a mussel farmer who needs to fight a reclamation project. She would do everything to save their livelihood even if it means sacrificing her innocence.
Tahong,"In a modern re-imagining of Little Red Riding Hood, a social pariah discovers a teenage runaway in the Oregon Wilderness and does his best to help her find a way home - a troubling exploration of trauma and redemption."
To Kill a Wolf,A young artist is stalked at his remote cabin by a killer who murdered his supernatural guest.
Ladybug,"After the mysterious appearance of a stranger in their home, a young Black family must deal with the fallout of their choices, big and small, as a steadfast detective tries to crack the case over the course of one fateful night."
The Knife,Follows a man as he joins a sleep trial that allows him to rebuild his life with his girlfriend who died in an accident through the use of lucid dreams.
Daniela Forever,"Thrown together under tragic circumstances, three generations of women from the same family are forced to learn to live together on a small rural chicken farm in New Jersey, which generates moving and amusing situations."
Funny Birds,"A witty exploration of mental health challenges through relatable conversations, striking a balance between depth and levity."
Group Therapy,International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.
Panda Plan,"The terrifying journey of Charley who, after a near-death experience, is haunted by her relationship with her deceased mother."
She Came Back,"Follow a young filmmaker, as she recounts the story of struggling to make her first feature. Fact bleeding into fiction, and past, present, and future converging to create a modern myth that redefines the very act of creation."
My First Film,"Enabled by a mysterious futuristic machine, Max, a young woman, dives inside the mind of her dying girlfriend, trying to find the essential memory that could save her life, all the while being hunted by a man they presumed to be dead."
Psychonaut,"Military medic Curtis gets injured, returns home with dog Friendly who saved him. Curtis and Friendly adjust to civilian life. Curtis falls in love with nurse Sophia, who has a child."
The Friendly,"A woman's online courtship takes an unsettling turn when her romantic interest harbors a dark secret and sinister motives, leading to a harrowing ordeal."
Sweet Bobby: My Catfish Nightmare,A rich teenage runaway and a group of street hustlers who both seek to find a place for themselves in the world.
Some Nights I Feel Like Walking,"ACP Satyabhama investigates a missing person case, uncovering dark secrets across shadowy towns. Her past haunts her as she races to find the truth and redemption amidst the high-stakes investigation."
Satyabhama,"Two couples, Lola - Cuau and Iñigo - Majo, from different socioeconomic backgrounds, undergo artificial insemination procedures to conceive children, exploring their contrasting perspectives on parenthood."
Una Pequeña Confusion,"Revolves around siblings Hanif and Isti returning to their hometown after their uncle's death, where they experience supernatural events involving his reappearance."
Sorop,"Revolves around a young mother facing challenges when her son fails to secure passing marks, igniting events that test the family's resilience and unity."
35-Chinna Katha Kaadu,"Georges, a politically committed stage director, has given up activism. But when Samuel, his best friend suffering from an incurable disease, urges him to pursue his crazy idea of staging Anouilh's Antigone to steal two hours of peace from the Lebanese war, Georges cannot refuse. In Beirut, George will rapidly discover the tense atmosphere and all the war conflicts between ethnic groups in the country. The play seems to be a glimmer of hope, even if the cloud of a raging war is upon them. How will the man who has only ever known revolt face the reality of the conflict? Will he be able to escape unscathed?"
The Fourth Wall,Fanon's progressive methods at Blida hospital spark criticism. His humane patient care angers staff. FLN's Ramdane recruits him. He and wife Josie join Algeria's independence fight.
Fanon,"Jazzy navigates the space between childhood and young adulthood. When her best friend moves away, Jazzy experiences both a sense of loss and her first inkling of independence."
Jazzy,"Facing cancer, Oscar trains his disabled son Billy in grocery bagging, hoping to secure him a job and independence before time runs out."
Paper Bag Plan,Based on the true story of three Christian prisoners who face execution in a third world country and how their joy in Christ results in a stunning conclusion.
The Firing Squad,"Under roaring fighter jets, Ukrainian artists Slava, Anya, and Andrey choose to stay behind. Defiantly finding beauty amid destruction, they show that although it's easy to make people afraid, it's hard to destroy their passion for living."
Porcelain War,"When Alf returns to school after a year away, he begins to bond with new student Oliver. This will deeply damage the relationship between Alf and Oliver as Alf faces the transition to adulthood alone, embroiled in crime."
Fine Young Men,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.
Desert Road,Expelled writer tries to save rebellious students in Warsaw high school using literature and unconventional methods.
Screw Mickiewicz,A young couple move to Florida for a fresh start only to realize their new home has something sinister lurking.
The House on Laura Anne Dr.,"Follows Saint-Phalle while she is modeling and striving to be an actor. She's married and has a daughter who is two years old. They left the United States during the harsh McCarthy era and travel to France, where they briefly feel elated."
Niki,It features three stories that are humorously evocative and a fourth one that's deeply disturbing.
Hot Spot,"Estelle flees domestic violence to rejoin her mother prior to a family reunion. Together, they share emotions and memories."
Ma famille chérie,"The story follows father Baby and son Sibi navigating three intertwined romantic storylines set against Kattappana's scenic backdrop, blending humor with relatable love tales for a multigenerational audience."
Little Hearts,"Every day, Jay travels the length and breadth of Tokyo in his taxi, looking for his daughter Lily. In the 9 years since he has separated from his wife, he has never been able to get custody of his daughter. Having given up hope of ever seeing her again, he is about to move back to France when Lily hops in his cab. But she doesn't recognize him."
